"Timestamp","Gender","Year","Major","On average, how many hours of sleep do you typically get on weekdays?","How often do you typically have any caffeine drink in a day(tea,coffee,etc)?","How much would you rate your academic performance according to your grades ","please rate how you feel your sleep habits typically affect your focus and concentration in class."
"2024/03/04 8:26:38 PM GMT+2","Male","2","Computer Science","5","1","Neutral","4"
"2024/03/04 8:37:41 PM GMT+2","Female","2","Computer Science","6","1","Neutral","3"
"2024/03/04 8:39:02 PM GMT+2","Male","2","Computer Science","8","1","Good","3"
"2024/03/04 8:40:56 PM GMT+2","Male","2","Engineering","6","1","Very Good","1"
"2024/03/04 8:43:08 PM GMT+2","Female","2","Engineering","10","+3","Excellent","2"
"2024/03/04 8:56:26 PM GMT+2","Male","2","Computer Science","9","1","Very Good","0"
"2024/03/04 8:58:56 PM GMT+2","Female","2","Computer Science","5","1","Very Good","3"
"2024/03/04 9:28:30 PM GMT+2","Male","2","Computer Science","4 hours","2","Bad","3"
"2024/03/05 4:12:59 AM GMT+2","Male","2","Computer Science","8","0","Neutral","3"
"2024/03/05 6:57:15 AM GMT+2","Female","2","Computer Science","6","0","Good","3"
"2024/03/05 9:04:34 AM GMT+2","Male","2","Engineering","7","1","Bad","3"
"2024/03/05 3:12:43 PM GMT+2","Female","4","Digital Art","4","1","Excellent","2"
"2024/03/07 11:07:24 AM GMT+2","Male","2","Computer Science","12","1","Good","2"
"2024/03/07 4:59:15 PM GMT+2","Male","2","Computer Science","5","2","Neutral","4"
"2024/03/07 4:59:30 PM GMT+2","Male","2","Computer Science","4","+3","Excellent","4"
"2024/03/07 4:59:35 PM GMT+2","Male","2","Computer Science","7","0","Very Good","3"
"2024/03/07 4:59:39 PM GMT+2","Male","2","Computer Science","7","2","Excellent","3"
"2024/03/07 4:59:46 PM GMT+2","Female","2","Computer Science","7","1","Good","3"
"2024/03/07 4:59:53 PM GMT+2","Male","2","Computer Science","6","+3","Very Good","4"
"2024/03/07 5:01:27 PM GMT+2","Female","2","Computer Science","9","2","Good","3"
"2024/03/07 5:01:27 PM GMT+2","Male","2","Computer Science","6","1","Neutral","3"
"2024/03/07 5:18:14 PM GMT+2","Male","2","Computer Science","6","1","Good","3"
"2024/03/07 5:26:59 PM GMT+2","Male","2","Computer Science","5-6","1","Good","4"
"2024/03/07 6:12:21 PM GMT+2","Female","2","Computer Science","12","2","Good","4"
"2024/03/07 6:17:21 PM GMT+2","Male","2","Computer Science","4","3","Good","4"
"2024/03/07 6:30:55 PM GMT+2","Male","2","Computer Science","7","1","Neutral","4"
"2024/03/07 7:19:36 PM GMT+2","Male","2","Computer Science","4 hours","1","Bad","3"
"2024/03/07 7:41:15 PM GMT+2","Male","2","Computer Science","7","0","Neutral","4"
"2024/03/07 8:39:00 PM GMT+2","Male","2","Computer Science","7","1","Excellent","4"
"2024/03/08 11:45:07 AM GMT+2","Male","2","Computer Science","8","0","Good","3"